# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5126
#@/user_id	be5fbefd-d5d5-4cd5-a314-d2941824e53b
dou dao 	都到	c=1 d=1 t=3397
dou geng xin dao 	都更新到	c=1 d=1 t=1635
dou hui 	都會	c=1 d=1 t=4717
dou ke yi 	都可以	c=2 d=1.00095 t=1861
dou mei 	都沒	c=1 d=1 t=389
dou mei you 	都沒有	c=1 d=1 t=5104
dou shi 	都是	c=7 d=1.85959 t=4660
dou shi wo 	都是我	c=1 d=1 t=1446
dou shi zhe yang 	都是這樣	c=0 d=0.1 t=929
dou shi zhe yang de 	都是這樣的	c=1 d=1 t=930
dou xi huan 	都喜歡	c=0 d=0.1 t=3264
dou xi huan zhe ge 	都喜歡這個	c=1 d=1 t=3265
dou xie 	都寫	c=0 d=0.1 t=2327
dou xie wan le 	都寫完了	c=1 d=1 t=2328
dou yao 	都要	c=3 d=1.00835 t=5121
dou you 	都有	c=1 d=1 t=2285
dou zai 	都在	c=1 d=1 t=695
du jie 	度劫	c=1 d=1 t=141
du jue 	杜絕	c=0 d=0.1 t=3339
du jue le 	杜絕了	c=1 d=1 t=3340
du li 	獨立	c=1 d=1 t=3391
du lu 	嘟嚕	c=0 d=0.115724 t=1514
du lu du lu 	嘟嚕嘟嚕	c=2 d=1 t=5106
du lu du lu du lu 	嘟嚕嘟嚕嘟嚕	c=1 d=1 t=1515
duan 	段	c=0 d=0.1 t=1362
duan 	短	c=0 d=0.1 t=4129
duan qi nei 	短期內	c=1 d=1 t=422
duan shi pin 	短視頻	c=1 d=1 t=4130
dui 	對	c=9 d=1.75488 t=4872
dui a 	對啊	c=3 d=1.11421 t=2564
dui ba 	對吧	c=2 d=1.00928 t=2597
dui bu qi 	對不起	c=1 d=1 t=4973
dui de 	對的	c=20 d=2.07294 t=5080
dui de a 	對的啊	c=1 d=1 t=1283
dui dui 	對對	c=0 d=0.1 t=3615
dui dui dui 	對對對	c=1 d=1 t=3616
dui fu 	對付	c=1 d=1 t=431
dui jie 	對接	c=1 d=1 t=419
dui wo 	對我	c=1 d=1 t=3723
duo 	多	c=2 d=1.22504 t=3645
duo de dong xi 	多的東西	c=1 d=1 t=2129
duo ji 	多機	c=2 d=1.82283 t=2276
duo ka 	多卡	c=2 d=1.97531 t=1789
duo le 	多了	c=2 d=0.114418 t=4110
duo ren wu 	多任務	c=1 d=1 t=3776
duo shao 	多少	c=2 d=1.01377 t=3108
duo tiao 	多條	c=1 d=1 t=742
duo xue ke 	多學科	c=0 d=0.1 t=982
duo yin li 	多引理	c=1 d=1 t=3540
duo zhong 	多種	c=0 d=0.1 t=1293
e zi 	蛾子	c=0 d=0.1 t=1827
ei 	誒	c=3 d=1.00003 t=3422
er 	而	c=1 d=1 t=4570
er ban 	二版	c=1 d=1 t=367
er ji 	耳機	c=2 d=2.04217 t=1297
er qie 	而且	c=7 d=1.00189 t=3969
er wei 	二維	c=1 d=1 t=914
er wo 	而我	c=1 d=1 t=3841
fa 	發	c=3 d=0.100005 t=5044
fa de 	發的	c=1 d=1 t=4129
fa gei 	發給	c=0 d=0.1 t=1867
fa gei ni men 	發給你們	c=1 d=1 t=1868
fa gei wo 	發給我	c=0 d=0.1 t=3931
fa qun li 	發羣裏	c=1 d=1 t=5045
fa tai duo le 	發太多了	c=1 d=1 t=940
fa wo 	發我	c=2 d=1 t=4678
fa xian 	發現	c=5 d=1.91999 t=3280
fa xiao xi 	發消息	c=1 d=1 t=739
fa yan gao 	發言稿	c=1 d=0.894534 t=275
fa yan gao ma 	發言稿嗎	c=1 d=1 t=276
fa yi xia 	發一下	c=1 d=1 t=3080
fan 	反	c=2 d=1.06522 t=3695
fan bo 	反駁	c=0 d=0.1 t=763
fan bo dao 	反駁道	c=1 d=1 t=764
fan fu 	反覆	c=1 d=1 t=975
fan guo lai 	反過來	c=0 d=0.1 t=1044
fan guo lai le 	反過來了	c=1 d=1 t=1045
fan hui 	返回	c=1 d=1 t=4854
fan hui de 	返回的	c=1 d=1 t=2674
fan hui zhi 	返回值	c=1 d=1 t=2762
fan xing 	反省	c=0 d=0.1 t=269
fan yi 	凡毅	c=1 d=1 t=3025
fan ying 	反映	c=1 d=1 t=2534
fan zheng 	反正	c=2 d=1.00261 t=4640
fan zheng jiu shi 	反正就是	c=1 d=1 t=911
